"","text"
"500"," kecewa tolong uang  kembalikan"
"501"," gercetuk memberisolusi  kasih bintang fullmksh"
"502","good"
"503","bagus"
"504","aasi nya bagus"
"505","mudah  "
"506","es cepat"
"507"," membantu"
"508","bagus es cetinggal besok  teknya gmna"
"509","  esional   keluhan    dianggangadangada samilakukan ekuan saldo ater hatihati        memaksa  menggiring o   emailnya balasan  k traveloka  mengintimidasi"
"510","jos"
"511","ayaran cecmn   memasukan otikar  ribet harga   bersaing dg travel sebelah"
"512","mantap"
"513"," aasi kenaa habis ue  g  order  disuruh lwt ater gymana sih"
"514"," keren  mantaaveloka"
"515","mantab rescepat"
"516","mntab"
"517","keren  membantu suksesss  traveloka"
"518"," membantu  u ditingkatkan  sesuai embangan kebutuhan nggannya"
"519","es cenamun harga ceberubah"
"520"," nyaman  traveloka"
"521"," "
"522"," membantu"
"523","tonget kalo  kasih harga yg termurah   alanan dinas "
"524"," membantu"
"525"," membantu  memudahkan  urusan beian sukses   traveloka"
"526"," membantu dg  ater  hrsnya  han cicilanthanks"
"527","mudah   onya"
"528","senang"
"529","good apk  membantu"
"530","ok"
"531","oke"
"532","nice"
"533","aasi yg memudahkan dlm alanan"
"534","a dah cekin  aasi dah berhasil giliran samotel kamar dah h parah ni aasi"
"535"," membantu"
"536","ok"
"537","good"
"538",""
"539","memudahkan mencari tiket an"
"540","traveloka h kasih  user ater  bayar tewaktu  nonaktifkan  gara covid  mei  kecewa   ga  aktifin lg"
"541","terimakasih"
"542","alhamdulillah memudah  qu bertamasya keliling kota ha ha ha ha thx travelloka"
"543"," gold rity  lg  inum bonus layanan rity bantuan yg  janjikan  sesuai  lelet disaat  butuh priority bonus  sesuai yg dihara"
"544","mantanar deh"
"545"," membantu"
"546","i like traveloka"
"547","keren"
"548"," membantu"
"549","cakep"
"550","very good"
"551","wadidaw"
"552","hahahahahahahhaaahhha"
"553","bagus"
"554","top"
"555","nice"
"556"," aasi  murah traveloka kenaang mahal  travelokapayah"
"557","sy   aasi "
"558"," membantu "
"559","mantap"
"560","lumayan"
"561","hmm "
"562","bagus"
"563","traveloka ater ng the best  memudahkan"
"564",""
"565","mantap"
"566","bagus  cepet"
"567","lumayan bagus"
"568","akses mudah"
"569","mudah hemat  gam sukses  traveloka"
"570",""
"571","tanebab level jd turun  booking ina transasi sdh "
"572"," membantu"
"573"," n rental mobil taaya  sambandara halim extrans rentcar n   yg jembahkan   konfirmasi    bayar tolong  "
"574","  rekomendasi"
"575","semoga ater   aktifkan kembalihanya  aktivitas mencurigakan   yg dirugikantanemberitahuan atiba  nonaktifkansudah coba comntkun   tangguhkanhal transaksi bagus   leveltalau  ditangguhkan tangasih  nunggu beberaari  gimanaya binggung gimana nunggunyakecuali  gak bayar  gkun dibekukantaya  bayar   lik traveloka  membantu  "
"576","mantap"
"577",""
"578","mantab"
